2018-10-08 12:24:59 INFO  FileSourceStrategy:54 - Post-Scan Filters: 
2018-10-08 12:24:59 INFO  FileSourceStrategy:54 - Output Data Schema: struct<web_site_sk: int, web_site_id: string, web_rec_start_date: string, web_rec_end_date: string, web_name: string ... 24 more fields>
2018-10-08 12:24:59 INFO  FileSourceScanExec:54 - Pushed Filters: 
2018-10-08 12:25:00 INFO  CodeGenerator:54 - Code generated in 233.221636 ms
2018-10-08 12:25:00 INFO  MemoryStore:54 - Block broadcast_0 stored as values in memory (estimated size 288.8 KB, free 366.0 MB)
2018-10-08 12:25:00 INFO  MemoryStore:54 - Block broadcast_0_piece0 stored as bytes in memory (estimated size 24.6 KB, free 366.0 MB)
2018-10-08 12:25:00 INFO  BlockManagerInfo:54 - Added broadcast_0_piece0 in memory on 192.168.0.101:50058 (size: 24.6 KB, free: 366.3 MB)
2018-10-08 12:25:00 INFO  SparkContext:54 - Created broadcast 0 from processCmd at CliDriver.java:376
2018-10-08 12:25:00 INFO  FileSourceScanExec:54 - Planning scan with bin packing, max size: 4194304 bytes, open cost is considered as scanning 4194304 bytes.
2018-10-08 12:25:00 INFO  SparkContext:54 - Starting job: processCmd at CliDriver.java:376
2018-10-08 12:25:00 INFO  DAGScheduler:54 - Got job 0 (processCmd at CliDriver.java:376) with 1 output partitions
2018-10-08 12:25:00 INFO  DAGScheduler:54 - Final stage: ResultStage 0 (processCmd at CliDriver.java:376)
2018-10-08 12:25:00 INFO  DAGScheduler:54 - Parents of final stage: List()
2018-10-08 12:25:00 INFO  DAGScheduler:54 - Missing parents: List()
2018-10-08 12:25:00 INFO  DAGScheduler:54 - Submitting ResultStage 0 (MapPartitionsRDD[2] at processCmd at CliDriver.java:376), which has no missing parents
2018-10-08 12:25:00 INFO  MemoryStore:54 - Block broadcast_1 stored as values in memory (estimated size 21.5 KB, free 366.0 MB)
2018-10-08 12:25:00 INFO  MemoryStore:54 - Block broadcast_1_piece0 stored as bytes in memory (estimated size 6.5 KB, free 366.0 MB)
2018-10-08 12:25:00 INFO  BlockManagerInfo:54 - Added broadcast_1_piece0 in memory on 192.168.0.101:50058 (size: 6.5 KB, free: 366.3 MB)
2018-10-08 12:25:00 INFO  SparkContext:54 - Created broadcast 1 from broadcast at DAGScheduler.scala:1039
2018-10-08 12:25:00 INFO  DAGScheduler:54 - Submitting 1 missing tasks from ResultStage 0 (MapPartitionsRDD[2] at processCmd at CliDriver.java:376) (first 15 tasks are for partitions Vector(0))
2018-10-08 12:25:00 INFO  TaskSchedulerImpl:54 - Adding task set 0.0 with 1 tasks
2018-10-08 12:25:00 INFO  TaskSetManager:54 - Starting task 0.0 in stage 0.0 (TID 0, localhost, executor driver, partition 0, PROCESS_LOCAL, 8434 bytes)
2018-10-08 12:25:00 INFO  Executor:54 - Running task 0.0 in stage 0.0 (TID 0)
2018-10-08 12:25:00 INFO  FileScanRDD:54 - Reading File path: file:///Users/edoardo/Documents/BDMA/Data_Warehouses/Project/ddl/spark-warehouse/tpcds_db.db/web_site/part-00000-7cde54e6-c004-4d0d-8c17-89a470c5ee6a-c000.snappy.parquet, range: 0-10919, partition values: [empty row]
2018-10-08 12:25:00 INFO  CodecPool:181 - Got brand-new decompressor [.snappy]
2018-10-08 12:25:00 INFO  Executor:54 - Finished task 0.0 in stage 0.0 (TID 0). 8552 bytes result sent to driver
2018-10-08 12:25:00 INFO  TaskSetManager:54 - Finished task 0.0 in stage 0.0 (TID 0) in 322 ms on localhost (executor driver) (1/1)
2018-10-08 12:25:00 INFO  TaskSchedulerImpl:54 - Removed TaskSet 0.0, whose tasks have all completed, from pool 
2018-10-08 12:25:00 INFO  DAGScheduler:54 - ResultStage 0 (processCmd at CliDriver.java:376) finished in 0,396 s
2018-10-08 12:25:00 INFO  ContextCleaner:54 - Cleaned accumulator 0
2018-10-08 12:25:00 INFO  DAGScheduler:54 - Job 0 finished: processCmd at CliDriver.java:376, took 0,439427 s
1	AAAAAAAABAAAAAAA	1997-08-16	NULL	site_0	2450807	NULL	Unknown	Ronald Shaffer	4	Grey lines ought to result indeed centres. Tod	Well similar decisions used to keep hardly democratic, personal priorities.	Joe George	6	cally	51	Dogwood Sunset	Ln	Suite 330	Midway	Williamson County	TN	31904	United States	-5.0	0.1
2	AAAAAAAACAAAAAAA	1997-08-16	2000-08-15	site_0	2450798	2447148	Unknown	Tommy Jones	6	Completely excellent things ought to pro	Lucky passengers know. Red details will not hang alive, international s	David Myers	4	ese	358	Ridge Wilson	Cir.	Suite 150	Midway	Williamson County	TN	31904	United States	-5.0	0.0
3	AAAAAAAACAAAAAAA	2000-08-16	NULL	site_0	2450798	2447148	Unknown	Tommy Jones	3	Completely excellent things ought to pro	Particular, common seasons shall not indicate fully more single decisions; 	David Myers	4	ese	753	7th 	Pkwy	Suite 210	Midway	Williamson County	TN	31904	United States	-5.0	0.02
4	AAAAAAAAEAAAAAAA	1997-08-16	1999-08-16	site_0	2450781	2448956	Unknown	Harold Wilson	5	As strong notes deal questions. Proud visito	Deeply small books cannot extend all similar, clear historians. Free, new camp	James Harris	5	anti	805	Hill Hill	Dr.	Suite R	Midway	Williamson County	TN	31904	United States	-5.0	0.08
